Frame Number,Class,Confidence,X,Y,Width,Height
22,car,0.7690492868423462,459,334,113,79
22,car,0.7436464428901672,110,246,61,43
22,truck,0.7173625826835632,694,357,137,90
22,truck,0.7075695991516113,668,331,96,80
22,car,0.5636761784553528,629,231,59,43
22,car,0.5388215184211731,253,181,59,36
23,car,0.970792829990387,238,245,71,49
23,car,0.9408394694328308,555,221,59,42
23,car,0.8245061039924622,301,206,60,41
23,car,0.8190354704856873,502,287,83,50
23,car,0.8142166137695312,460,337,112,78
23,car,0.7477483749389648,112,246,60,43
23,car,0.6941115856170654,707,355,119,94
23,car,0.6717075705528259,667,332,97,82
23,car,0.5696715116500854,673,256,66,53
23,car,0.5430527925491333,253,179,59,37
23,car,0.5004379749298096,211,207,53,34
24,car,0.9580221176147461,241,245,69,48
24,car,0.9460132122039795,552,222,63,42
24,car,0.8287132978439331,504,288,82,50
24,car,0.7883787751197815,301,206,62,42
24,truck,0.764998197555542,696,359,137,90
24,car,0.7265098094940186,458,338,113,79
24,truck,0.711488664150238,668,333,98,81
24,car,0.6608218550682068,114,245,57,45
25,car,0.9623227119445801,244,245,67,47
25,car,0.9429144263267517,553,222,64,42
25,car,0.8556039333343506,458,340,114,79
25,car,0.833968460559845,503,290,83,47
25,truck,0.82967209815979,698,359,140,92
25,car,0.818796694278717,302,205,62,41
25,truck,0.7208660244941711,669,333,102,84
25,car,0.6133517026901245,115,245,58,44
25,car,0.559210479259491,672,256,68,56
25,car,0.5044090151786804,214,205,49,36
26,car,0.9471428394317627,247,245,66,47
26,car,0.9337917566299438,552,223,63,42
26,car,0.8390627503395081,458,342,115,79
26,truck,0.8372398018836975,697,358,142,95
26,car,0.7868561744689941,302,204,61,42
26,car,0.7273126244544983,502,292,85,46
26,truck,0.7081189155578613,668,333,105,87
26,car,0.5405150651931763,672,256,68,56
27,car,0.9487020373344421,249,245,66,47
27,car,0.9319359064102173,552,222,63,43
27,truck,0.8586462736129761,697,357,143,97
27,car,0.8271344900131226,452,350,121,78
27,car,0.7900146842002869,305,205,58,40
27,truck,0.7169915437698364,669,335,102,87
27,car,0.7091096043586731,503,293,83,44
27,car,0.50638347864151,125,248,56,40
28,car,0.9522566199302673,252,245,64,46
28,car,0.9353088736534119,552,222,64,45
28,truck,0.8563917279243469,696,359,143,95
28,car,0.8023233413696289,307,205,56,39
28,car,0.7968672513961792,452,351,122,77
28,truck,0.7196865081787109,668,336,104,87
28,car,0.7021939754486084,502,294,85,52
28,car,0.5838237404823303,672,258,68,56
28,car,0.583712637424469,125,247,56,39
29,car,0.9752717614173889,252,244,64,47
29,car,0.927109956741333,552,222,64,45
29,car,0.8335610032081604,309,206,56,37
29,truck,0.817292332649231,692,359,147,97
29,car,0.7710375189781189,501,295,86,51
29,car,0.7490988969802856,126,247,55,38
29,truck,0.7122236490249634,673,349,98,81
29,car,0.6533005237579346,451,348,124,83
29,car,0.6040414571762085,672,255,69,59
30,car,0.9368551969528198,255,245,61,46
30,car,0.8896523118019104,551,223,64,46
30,car,0.7947732210159302,309,206,56,36
30,truck,0.7771574258804321,671,350,103,79
30,car,0.7603851556777954,708,374,134,93
30,car,0.7070226073265076,500,296,89,55
30,car,0.6802903413772583,128,246,55,39
30,truck,0.6672179698944092,458,340,113,88
30,car,0.581798255443573,673,254,68,61
31,car,0.9331060647964478,257,247,60,44
31,car,0.8652704358100891,551,223,64,46
31,truck,0.7936302423477173,673,349,104,82
31,truck,0.7301884293556213,452,352,119,86
31,truck,0.7254732847213745,696,359,131,99
31,car,0.7206055521965027,310,205,56,35
31,car,0.706667423248291,672,254,69,63
31,car,0.6136154532432556,130,246,54,39
31,person,0.5508073568344116,449,362,20,39
32,car,0.9287775754928589,260,246,58,44
32,car,0.8610993027687073,551,233,62,36
32,truck,0.7943608164787292,672,349,106,83
32,truck,0.7357509136199951,695,359,130,100
32,truck,0.7165932655334473,452,354,120,85
32,car,0.7062603831291199,674,255,68,62
32,car,0.6749279499053955,310,205,56,35
32,car,0.6211341619491577,500,297,90,55
33,car,0.9219609498977661,261,246,57,43
33,car,0.8871193528175354,552,233,60,35
33,car,0.7849970459938049,673,256,69,62
33,truck,0.7674840092658997,671,349,108,85
33,car,0.6920338869094849,311,205,56,35
33,truck,0.6819661855697632,707,372,143,104
33,car,0.6540472507476807,454,357,119,84
33,car,0.5977049469947815,500,298,91,56
34,car,0.9148572683334351,552,234,60,35
34,car,0.8290473222732544,261,246,57,44
34,truck,0.7377108335494995,674,347,108,93
34,car,0.7198734879493713,673,265,72,56
34,truck,0.6936130523681641,457,359,116,83
34,car,0.680797278881073,710,374,142,105
34,car,0.6593519449234009,501,298,89,57
35,car,0.9331780672073364,551,235,61,35
35,car,0.8061333298683167,673,264,74,58
35,car,0.7396730780601501,501,298,90,57
35,car,0.7352954149246216,710,375,143,105
35,truck,0.6823902726173401,674,349,109,94
35,truck,0.6466820240020752,455,361,118,85
35,car,0.5597782731056213,640,246,55,40
36,car,0.9375162124633789,551,234,61,36
36,car,0.8130488395690918,672,263,75,59
36,car,0.7957189083099365,709,377,143,106
36,truck,0.7403088212013245,686,350,119,107
36,car,0.706595242023468,453,361,121,87
36,car,0.6595564484596252,640,244,56,43
36,car,0.6335505247116089,500,298,92,57
37,car,0.935218334197998,551,233,61,37
37,truck,0.82076495885849,683,349,121,110
37,car,0.771202802658081,451,363,123,88
37,car,0.7634554505348206,672,264,75,58
37,truck,0.7051970958709717,710,376,141,107
37,car,0.6197954416275024,638,244,59,43
38,car,0.9233018755912781,551,234,60,38
38,truck,0.8131941556930542,680,351,123,106
38,car,0.7385726571083069,720,385,140,102
38,car,0.6313457489013672,451,364,126,89
38,car,0.6019178628921509,502,302,87,49
38,truck,0.5816389918327332,668,248,78,78
39,car,0.9284629821777344,551,233,60,39
39,truck,0.8077304363250732,681,352,120,103
39,truck,0.7408506274223328,711,380,138,104
39,car,0.6322563886642456,672,264,75,60
39,car,0.62397700548172,449,365,125,91
